player_name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,position_rank,overall_rank,player_id
Christian McCaffrey,SFO,RB,27,16,16,0,0,0,272,1459,14,83,67,564,7,3,2,0,0,3240,3913,1,1,McCaCh01
CeeDee Lamb,DAL,WR,24,17,17,0,0,0,14,113,2,181,135,1749,12,3,2,1,0,2680,4032,1,2,LambCe00
Josh Allen,BUF,QB,27,17,17,4306,29,18,111,524,15,0,0,0,0,7,4,0,3,3930,3926,1,3,AlleJo02
Tyreek Hill,MIA,WR,29,16,16,0,0,0,6,15,0,171,119,1799,13,1,1,0,0,2570,3764,2,4,HillTy00
Jalen Hurts,PHI,QB,25,17,17,3858,23,15,157,605,15,0,0,0,0,9,5,0,0,3570,3568,2,5,HurtJa00
Raheem Mostert,MIA,RB,31,15,15,0,0,0,209,1012,18,32,25,175,3,4,1,0,0,2430,2677,2,6,MostRa00
Amon-Ra St. Brown,DET,WR,24,16,16,0,0,0,4,24,0,164,119,1515,10,1,1,0,0,2120,3309,3,7,StxxAm00
Dak Prescott,DAL,QB,30,17,17,4516,36,9,55,242,2,0,0,0,0,4,2,0,2,3430,3428,3,8,PresDa01
Mike Evans,TAM,WR,30,17,17,0,0,0,0,0,0,136,79,1255,13,0,0,0,0,2040,2825,4,9,EvanMi00
Lamar Jackson,BAL,QB,26,16,16,3678,24,7,148,821,5,0,0,0,0,11,6,0,1,3310,3312,4,10,JackLa00
Sam LaPorta,DET,TE,22,17,14,0,0,0,1,4,0,120,86,889,10,0,0,2,0,1530,2393,1,11,LaPoSa01
Travis Etienne,JAX,RB,24,17,17,0,0,0,267,1008,11,73,58,476,1,0,0,2,0,2240,2824,3,12,EtieTr00
Kyren Williams,LAR,RB,23,12,11,0,0,0,228,1144,12,48,32,206,3,3,2,1,0,2230,2550,4,13,WillKy02
Puka Nacua,LAR,WR,22,17,17,0,0,0,12,89,0,160,105,1486,6,1,0,0,0,1940,2985,5,14,NacuPu00
D.J. Moore,CHI,WR,26,17,17,0,0,0,4,21,1,136,96,1364,8,1,1,0,0,1910,2865,6,15,MoorD.00
Derrick Henry,TEN,RB,29,17,17,14,2,0,280,1167,12,36,28,214,0,0,0,0,0,2190,2467,5,16,HenrDe00
Joe Mixon,CIN,RB,27,17,17,0,0,0,257,1034,9,64,52,376,3,0,0,1,0,2150,2670,6,17,MixoJo00
Jordan Love,GNB,QB,25,17,17,4159,32,11,50,247,4,0,0,0,0,9,3,0,2,3190,3191,5,18,LoveJo03
Breece Hall,NYJ,RB,22,17,16,0,0,0,223,994,5,95,76,591,4,2,0,1,0,2150,2905,7,19,HallBr03
A.J. Brown,PHI,WR,26,17,17,0,0,0,0,0,0,158,106,1456,7,2,2,0,0,1840,2896,8,20,BrowAJ00
Deebo Samuel,SFO,WR,27,15,15,0,0,0,37,225,5,89,60,892,7,1,0,0,0,1840,2437,7,21,SamuDe00
George Kittle,SFO,TE,30,16,16,0,0,0,1,2,0,90,65,1020,6,0,0,0,0,1380,2032,2,22,KittGe00
Nico Collins,HOU,WR,24,15,10,0,0,0,1,7,0,109,80,1297,8,1,0,1,0,1800,2604,9,23,CollNi00
Rachaad White,TAM,RB,24,17,17,0,0,0,272,990,6,70,64,549,3,3,2,0,0,2040,2679,8,24,WhitRa01
Brandon Aiyuk,SFO,WR,25,16,16,0,0,0,0,0,0,105,75,1342,7,1,1,0,0,1740,2492,10,25,AiyuBr00
Travis Kelce,KAN,TE,34,15,15,0,0,0,0,0,0,121,93,984,5,1,1,0,0,1260,2194,3,26,KelcTr00
