draft_id,draft_name,draft_type,roster_size,draft_size,draft_status
1,Fake Draft 1,Standard,10,10,completed
2,Fake Draft 2,PPR,10,10,completed
3,Fake Draft 3,Standard,10,10,completed
4,Fake Draft 4,PPR,10,10,completed
5,Fake Draft 5,Standard,10,10,completed
6,Fake Draft 6,PPR,10,10,completed
7,Fake Draft 7,Standard,10,10,completed
8,Fake Draft 8,PPR,10,10,completed
9,Fake Draft 9,Standard,10,10,completed
10,Fake Draft 10,PPR,10,10,completed
11,Fake Draft 11,Standard,10,10,completed
12,Fake Draft 12,PPR,10,10,completed
13,Fake Draft 13,Standard,10,10,completed
14,Fake Draft 14,PPR,10,10,completed
15,Fake Draft 15,Standard,10,10,completed
16,Fake Draft 16,PPR,10,10,completed
17,Fake Draft 17,Standard,10,10,completed
18,Fake Draft 18,PPR,10,10,completed
19,Fake Draft 19,Standard,10,10,completed
20,Fake Draft 20,PPR,10,10,completed
21,Fake Draft 21,Standard,10,10,completed
22,Fake Draft 22,PPR,10,10,completed
23,Fake Draft 23,Standard,10,10,completed
24,Fake Draft 24,PPR,10,10,completed
25,Fake Draft 25,Standard,10,10,completed
26,Fake Draft 26,PPR,10,10,completed
27,Fake Draft 27,Standard,10,10,completed
28,Fake Draft 28,PPR,10,10,completed
29,Fake Draft 29,Standard,10,10,completed
30,Fake Draft 30,PPR,10,10,completed
31,Fake Draft 31,Standard,10,10,completed
32,Fake Draft 32,PPR,10,10,completed
33,Fake Draft 33,Standard,10,10,completed
34,Fake Draft 34,PPR,10,10,completed
35,Fake Draft 35,Standard,10,10,completed
36,Fake Draft 36,PPR,10,10,completed
37,Fake Draft 37,Standard,10,10,completed
38,Fake Draft 38,PPR,10,10,completed
39,Fake Draft 39,Standard,10,10,completed
40,Fake Draft 40,PPR,10,10,completed
41,Fake Draft 41,Standard,10,10,completed
42,Fake Draft 42,PPR,10,10,completed
43,Fake Draft 43,Standard,10,10,completed
44,Fake Draft 44,PPR,10,10,completed
45,Fake Draft 45,Standard,10,10,completed
46,Fake Draft 46,PPR,10,10,completed
47,Fake Draft 47,Standard,10,10,completed
48,Fake Draft 48,PPR,10,10,completed
49,Fake Draft 49,Standard,10,10,completed
50,Fake Draft 50,PPR,10,10,completed
51,Fake Draft 51,Standard,10,10,completed
52,Fake Draft 52,PPR,10,10,completed
53,Fake Draft 53,Standard,10,10,completed
54,Fake Draft 54,PPR,10,10,completed
55,Fake Draft 55,Standard,10,10,completed
56,Fake Draft 56,PPR,10,10,completed
57,Fake Draft 57,Standard,10,10,completed
58,Fake Draft 58,PPR,10,10,completed
59,Fake Draft 59,Standard,10,10,completed
60,Fake Draft 60,PPR,10,10,completed
61,Fake Draft 61,Standard,10,10,completed
62,Fake Draft 62,PPR,10,10,completed
63,Fake Draft 63,Standard,10,10,completed
64,Fake Draft 64,PPR,10,10,completed
65,Fake Draft 65,Standard,10,10,completed
66,Fake Draft 66,PPR,10,10,completed
67,Fake Draft 67,Standard,10,10,completed
68,Fake Draft 68,PPR,10,10,completed
69,Fake Draft 69,Standard,10,10,completed
70,Fake Draft 70,PPR,10,10,completed
71,Fake Draft 71,Standard,10,10,completed
72,Fake Draft 72,PPR,10,10,completed
73,Fake Draft 73,Standard,10,10,completed
74,Fake Draft 74,PPR,10,10,completed
75,Fake Draft 75,Standard,10,10,completed
76,Fake Draft 76,PPR,10,10,completed
77,Fake Draft 77,Standard,10,10,completed
78,Fake Draft 78,PPR,10,10,completed
79,Fake Draft 79,Standard,10,10,completed
80,Fake Draft 80,PPR,10,10,completed
81,Fake Draft 81,Standard,10,10,completed
82,Fake Draft 82,PPR,10,10,completed
