draft_id,position,min,max
1,QB,1,4
1,RB,1,4
1,WR,1,4
1,TE,1,4
2,QB,1,4
2,RB,1,4
2,WR,1,4
2,TE,1,4
3,QB,1,4
3,RB,1,4
3,WR,1,4
3,TE,1,4
4,QB,1,4
4,RB,1,4
4,WR,1,4
4,TE,1,4
5,QB,1,4
5,RB,1,4
5,WR,1,4
5,TE,1,4
6,QB,1,4
6,RB,1,4
6,WR,1,4
6,TE,1,4
7,QB,1,4
7,RB,1,4
7,WR,1,4
7,TE,1,4
8,QB,1,4
8,RB,1,4
8,WR,1,4
8,TE,1,4
9,QB,1,4
9,RB,1,4
9,WR,1,4
9,TE,1,4
10,QB,1,4
10,RB,1,4
10,WR,1,4
10,TE,1,4
11,QB,1,4
11,RB,1,4
11,WR,1,4
11,TE,1,4
12,QB,1,4
12,RB,1,4
12,WR,1,4
12,TE,1,4
13,QB,1,4
13,RB,1,4
13,WR,1,4
13,TE,1,4
14,QB,1,4
14,RB,1,4
14,WR,1,4
14,TE,1,4
15,QB,1,4
15,RB,1,4
15,WR,1,4
15,TE,1,4
16,QB,1,4
16,RB,1,4
16,WR,1,4
16,TE,1,4
17,QB,1,4
17,RB,1,4
17,WR,1,4
17,TE,1,4
18,QB,1,4
18,RB,1,4
18,WR,1,4
18,TE,1,4
19,QB,1,4
19,RB,1,4
19,WR,1,4
19,TE,1,4
20,QB,1,4
20,RB,1,4
20,WR,1,4
20,TE,1,4
21,QB,1,4
21,RB,1,4
21,WR,1,4
21,TE,1,4
22,QB,1,4
22,RB,1,4
22,WR,1,4
22,TE,1,4
23,QB,1,4
23,RB,1,4
23,WR,1,4
23,TE,1,4
24,QB,1,4
24,RB,1,4
24,WR,1,4
24,TE,1,4
25,QB,1,4
25,RB,1,4
25,WR,1,4
25,TE,1,4
26,QB,1,4
26,RB,1,4
26,WR,1,4
26,TE,1,4
27,QB,1,4
27,RB,1,4
27,WR,1,4
27,TE,1,4
28,QB,1,4
28,RB,1,4
28,WR,1,4
28,TE,1,4
29,QB,1,4
29,RB,1,4
29,WR,1,4
29,TE,1,4
30,QB,1,4
30,RB,1,4
30,WR,1,4
30,TE,1,4
31,QB,1,4
31,RB,1,4
31,WR,1,4
31,TE,1,4
32,QB,1,4
32,RB,1,4
32,WR,1,4
32,TE,1,4
33,QB,1,4
33,RB,1,4
33,WR,1,4
33,TE,1,4
34,QB,1,4
34,RB,1,4
34,WR,1,4
34,TE,1,4
35,QB,1,4
35,RB,1,4
35,WR,1,4
35,TE,1,4
36,QB,1,4
36,RB,1,4
36,WR,1,4
36,TE,1,4
37,QB,1,4
37,RB,1,4
37,WR,1,4
37,TE,1,4
38,QB,1,4
38,RB,1,4
38,WR,1,4
38,TE,1,4
39,QB,1,4
39,RB,1,4
39,WR,1,4
39,TE,1,4
40,QB,1,4
40,RB,1,4
40,WR,1,4
40,TE,1,4
41,QB,1,4
41,RB,1,4
41,WR,1,4
41,TE,1,4
42,QB,1,4
42,RB,1,4
42,WR,1,4
42,TE,1,4
43,QB,1,4
43,RB,1,4
43,WR,1,4
43,TE,1,4
44,QB,1,4
44,RB,1,4
44,WR,1,4
44,TE,1,4
45,QB,1,4
45,RB,1,4
45,WR,1,4
45,TE,1,4
46,QB,1,4
46,RB,1,4
46,WR,1,4
46,TE,1,4
47,QB,1,4
47,RB,1,4
47,WR,1,4
47,TE,1,4
48,QB,1,4
48,RB,1,4
48,WR,1,4
48,TE,1,4
49,QB,1,4
49,RB,1,4
49,WR,1,4
49,TE,1,4
50,QB,1,4
50,RB,1,4
50,WR,1,4
50,TE,1,4
51,QB,1,4
51,RB,1,4
51,WR,1,4
51,TE,1,4
52,QB,1,4
52,RB,1,4
52,WR,1,4
52,TE,1,4
53,QB,1,4
53,RB,1,4
53,WR,1,4
53,TE,1,4
54,QB,1,4
54,RB,1,4
54,WR,1,4
54,TE,1,4
55,QB,1,4
55,RB,1,4
55,WR,1,4
55,TE,1,4
56,QB,1,4
56,RB,1,4
56,WR,1,4
56,TE,1,4
57,QB,1,4
57,RB,1,4
57,WR,1,4
57,TE,1,4
58,QB,1,4
58,RB,1,4
58,WR,1,4
58,TE,1,4
59,QB,1,4
59,RB,1,4
59,WR,1,4
59,TE,1,4
60,QB,1,4
60,RB,1,4
60,WR,1,4
60,TE,1,4
61,QB,1,4
61,RB,1,4
61,WR,1,4
61,TE,1,4
62,QB,1,4
62,RB,1,4
62,WR,1,4
62,TE,1,4
63,QB,1,4
63,RB,1,4
63,WR,1,4
63,TE,1,4
64,QB,1,4
64,RB,1,4
64,WR,1,4
64,TE,1,4
65,QB,1,4
65,RB,1,4
65,WR,1,4
65,TE,1,4
66,QB,1,4
66,RB,1,4
66,WR,1,4
66,TE,1,4
67,QB,1,4
67,RB,1,4
67,WR,1,4
67,TE,1,4
68,QB,1,4
68,RB,1,4
68,WR,1,4
68,TE,1,4
69,QB,1,4
69,RB,1,4
69,WR,1,4
69,TE,1,4
70,QB,1,4
70,RB,1,4
70,WR,1,4
70,TE,1,4
71,QB,1,4
71,RB,1,4
71,WR,1,4
71,TE,1,4
72,QB,1,4
72,RB,1,4
72,WR,1,4
72,TE,1,4
73,QB,1,4
73,RB,1,4
73,WR,1,4
73,TE,1,4
74,QB,1,4
74,RB,1,4
