team_name,user_name,draft_position,draft_id
Fake Team 1,Fake User 1,1,1
Fake Team 2,Fake User 2,2,1
Fake Team 3,Fake User 3,3,1
Fake Team 4,Fake User 4,4,1
Fake Team 5,Fake User 5,5,1
Fake Team 6,Fake User 6,6,1
Fake Team 7,Fake User 7,7,1
Fake Team 8,Fake User 8,8,1
Fake Team 9,Fake User 9,9,1
Fake Team 10,Fake User 10,10,1
Fake Team 11,Fake User 11,1,2
Fake Team 12,Fake User 12,2,2
Fake Team 13,Fake User 13,3,2
Fake Team 14,Fake User 14,4,2
Fake Team 15,Fake User 15,5,2
Fake Team 16,Fake User 16,6,2
Fake Team 17,Fake User 17,7,2
Fake Team 18,Fake User 18,8,2
Fake Team 19,Fake User 19,9,2
Fake Team 20,Fake User 20,10,2
Fake Team 21,Fake User 21,1,3
Fake Team 22,Fake User 22,2,3
Fake Team 23,Fake User 23,3,3
Fake Team 24,Fake User 24,4,3
Fake Team 25,Fake User 25,5,3
Fake Team 26,Fake User 26,6,3
Fake Team 27,Fake User 27,7,3
Fake Team 28,Fake User 28,8,3
Fake Team 29,Fake User 29,9,3
Fake Team 30,Fake User 30,10,3
Fake Team 31,Fake User 31,1,4
Fake Team 32,Fake User 32,2,4
Fake Team 33,Fake User 33,3,4
Fake Team 34,Fake User 34,4,4
Fake Team 35,Fake User 35,5,4
Fake Team 36,Fake User 36,6,4
Fake Team 37,Fake User 37,7,4
Fake Team 38,Fake User 38,8,4
Fake Team 39,Fake User 39,9,4
Fake Team 40,Fake User 40,10,4
Fake Team 41,Fake User 41,1,5
Fake Team 42,Fake User 42,2,5
Fake Team 43,Fake User 43,3,5
Fake Team 44,Fake User 44,4,5
Fake Team 45,Fake User 45,5,5
Fake Team 46,Fake User 46,6,5
Fake Team 47,Fake User 47,7,5
Fake Team 48,Fake User 48,8,5
Fake Team 49,Fake User 49,9,5
Fake Team 50,Fake User 50,10,5
Fake Team 51,Fake User 51,1,6
Fake Team 52,Fake User 52,2,6
Fake Team 53,Fake User 53,3,6
Fake Team 54,Fake User 54,4,6
Fake Team 55,Fake User 55,5,6
Fake Team 56,Fake User 56,6,6
Fake Team 57,Fake User 57,7,6
Fake Team 58,Fake User 58,8,6
Fake Team 59,Fake User 59,9,6
Fake Team 60,Fake User 60,10,6
Fake Team 61,Fake User 61,1,7
Fake Team 62,Fake User 62,2,7
Fake Team 63,Fake User 63,3,7
Fake Team 64,Fake User 64,4,7
Fake Team 65,Fake User 65,5,7
Fake Team 66,Fake User 66,6,7
Fake Team 67,Fake User 67,7,7
Fake Team 68,Fake User 68,8,7
Fake Team 69,Fake User 69,9,7
Fake Team 70,Fake User 70,10,7
Fake Team 71,Fake User 71,1,8
Fake Team 72,Fake User 72,2,8
Fake Team 73,Fake User 73,3,8
Fake Team 74,Fake User 74,4,8
Fake Team 75,Fake User 75,5,8
Fake Team 76,Fake User 76,6,8
Fake Team 77,Fake User 77,7,8
Fake Team 78,Fake User 78,8,8
Fake Team 79,Fake User 79,9,8
Fake Team 80,Fake User 80,10,8
Fake Team 81,Fake User 81,1,9
Fake Team 82,Fake User 82,2,9
Fake Team 83,Fake User 83,3,9
Fake Team 84,Fake User 84,4,9
Fake Team 85,Fake User 85,5,9
Fake Team 86,Fake User 86,6,9
Fake Team 87,Fake User 87,7,9
Fake Team 88,Fake User 88,8,9
Fake Team 89,Fake User 89,9,9
Fake Team 90,Fake User 90,10,9
Fake Team 91,Fake User 91,1,10
Fake Team 92,Fake User 92,2,10
Fake Team 93,Fake User 93,3,10
Fake Team 94,Fake User 94,4,10
Fake Team 95,Fake User 95,5,10
Fake Team 96,Fake User 96,6,10
Fake Team 97,Fake User 97,7,10
Fake Team 98,Fake User 98,8,10
Fake Team 99,Fake User 99,9,10
Fake Team 100,Fake User 100,10,10
Fake Team 101,Fake User 101,1,11
Fake Team 102,Fake User 102,2,11
Fake Team 103,Fake User 103,3,11
Fake Team 104,Fake User 104,4,11
Fake Team 105,Fake User 105,5,11
Fake Team 106,Fake User 106,6,11
Fake Team 107,Fake User 107,7,11
Fake Team 108,Fake User 108,8,11
Fake Team 109,Fake User 109,9,11
Fake Team 110,Fake User 110,10,11
Fake Team 111,Fake User 111,1,12
Fake Team 112,Fake User 112,2,12
Fake Team 113,Fake User 113,3,12
Fake Team 114,Fake User 114,4,12
Fake Team 115,Fake User 115,5,12
Fake Team 116,Fake User 116,6,12
Fake Team 117,Fake User 117,7,12
Fake Team 118,Fake User 118,8,12
Fake Team 119,Fake User 119,9,12
Fake Team 120,Fake User 120,10,12
Fake Team 121,Fake User 121,1,13
Fake Team 122,Fake User 122,2,13
Fake Team 123,Fake User 123,3,13
Fake Team 124,Fake User 124,4,13
Fake Team 125,Fake User 125,5,13
Fake Team 126,Fake User 126,6,13
Fake Team 127,Fake User 127,7,13
Fake Team 128,Fake User 128,8,13
Fake Team 129,Fake User 129,9,13
Fake Team 130,Fake User 130,10,13
Fake Team 131,Fake User 131,1,14
Fake Team 132,Fake User 132,2,14
Fake Team 133,Fake User 133,3,14
Fake Team 134,Fake User 134,4,14
Fake Team 135,Fake User 135,5,14
Fake Team 136,Fake User 136,6,14
Fake Team 137,Fake User 137,7,14
Fake Team 138,Fake User 138,8,14
Fake Team 139,Fake User 139,9,14
Fake Team 140,Fake User 140,10,14
Fake Team 141,Fake User 141,1,15
Fake Team 142,Fake User 142,2,15
Fake Team 143,Fake User 143,3,15
Fake Team 144,Fake User 144,4,15
Fake Team 145,Fake User 145,5,15
Fake Team 146,Fake User 146,6,15
Fake Team 147,Fake User 147,7,15
Fake Team 148,Fake User 148,8,15
Fake Team 149,Fake User 149,9,15
Fake Team 150,Fake User 150,10,15
Fake Team 151,Fake User 151,1,16
Fake Team 152,Fake User 152,2,16
Fake Team 153,Fake User 153,3,16
Fake Team 154,Fake User 154,4,16
Fake Team 155,Fake User 155,5,16
Fake Team 156,Fake User 156,6,16
Fake Team 157,Fake User 157,7,16
Fake Team 158,Fake User 158,8,16
Fake Team 159,Fake User 159,9,16
Fake Team 160,Fake User 160,10,16
Fake Team 161,Fake User 161,1,17
Fake Team 162,Fake User 162,2,17
Fake Team 163,Fake User 163,3,17
Fake Team 164,Fake User 164,4,17
Fake Team 165,Fake User 165,5,17
Fake Team 166,Fake User 166,6,17
Fake Team 167,Fake User 167,7,17
Fake Team 168,Fake User 168,8,17
Fake Team 169,Fake User 169,9,17
Fake Team 170,Fake User 170,10,17
Fake Team 171,Fake User 171,1,18
Fake Team 172,Fake User 172,2,18
Fake Team 173,Fake User 173,3,18
Fake Team 174,Fake User 174,4,18
Fake Team 175,Fake User 175,5,18
Fake Team 176,Fake User 176,6,18
Fake Team 177,Fake User 177,7,18
Fake Team 178,Fake User 178,8,18
Fake Team 179,Fake User 179,9,18
Fake Team 180,Fake User 180,10,18
Fake Team 181,Fake User 181,1,19
Fake Team 182,Fake User 182,2,19
Fake Team 183,Fake User 183,3,19
Fake Team 184,Fake User 184,4,19
Fake Team 185,Fake User 185,5,19
Fake Team 186,Fake User 186,6,19
Fake Team 187,Fake User 187,7,19
Fake Team 188,Fake User 188,8,19
Fake Team 189,Fake User 189,9,19
Fake Team 190,Fake User 190,10,19
Fake Team 191,Fake User 191,1,20
Fake Team 192,Fake User 192,2,20
Fake Team 193,Fake User 193,3,20
Fake Team 194,Fake User 194,4,20
Fake Team 195,Fake User 195,5,20
Fake Team 196,Fake User 196,6,20
Fake Team 197,Fake User 197,7,20
Fake Team 198,Fake User 198,8,20
Fake Team 199,Fake User 199,9,20
Fake Team 200,Fake User 200,10,20
Fake Team 201,Fake User 201,1,21
Fake Team 202,Fake User 202,2,21
Fake Team 203,Fake User 203,3,21
Fake Team 204,Fake User 204,4,21
Fake Team 205,Fake User 205,5,21
Fake Team 206,Fake User 206,6,21
Fake Team 207,Fake User 207,7,21
Fake Team 208,Fake User 208,8,21
Fake Team 209,Fake User 209,9,21
Fake Team 210,Fake User 210,10,21
Fake Team 211,Fake User 211,1,22
Fake Team 212,Fake User 212,2,22
Fake Team 213,Fake User 213,3,22
Fake Team 214,Fake User 214,4,22
Fake Team 215,Fake User 215,5,22
Fake Team 216,Fake User 216,6,22
Fake Team 217,Fake User 217,7,22
Fake Team 218,Fake User 218,8,22
Fake Team 219,Fake User 219,9,22
Fake Team 220,Fake User 220,10,22
Fake Team 221,Fake User 221,1,23
Fake Team 222,Fake User 222,2,23
Fake Team 223,Fake User 223,3,23
Fake Team 224,Fake User 224,4,23
Fake Team 225,Fake User 225,5,23
Fake Team 226,Fake User 226,6,23
Fake Team 227,Fake User 227,7,23
Fake Team 228,Fake User 228,8,23
Fake Team 229,Fake User 229,9,23
Fake Team 230,Fake User 230,10,23
Fake Team 231,Fake User 231,1,24
Fake Team 232,Fake User 232,2,24
Fake Team 233,Fake User 233,3,24
Fake Team 234,Fake User 234,4,24
