name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,player_id
Christian McCaffrey*+,SFO,RB,27,16,16,0,0,0,272,1459,14,83,67,564,7,3,2,,,324,391.3,McCaCh01
CeeDee Lamb*+,DAL,WR,24,17,17,0,0,0,14,113,2,181,135,1749,12,3,2,1,,268,403.2,LambCe00
Josh Allen,BUF,QB,27,17,17,4306,29,18,111,524,15,0,0,0,0,7,4,,3,393,392.6,AlleJo02
Tyreek Hill*+,MIA,WR,29,16,16,0,0,0,6,15,0,171,119,1799,13,1,1,,,257,376.4,HillTy00
Jalen Hurts*,PHI,QB,25,17,17,3858,23,15,157,605,15,0,0,0,0,9,5,,,357,356.8,HurtJa00
Raheem Mostert*,MIA,RB,31,15,15,0,0,0,209,1012,18,32,25,175,3,4,1,,,243,267.7,MostRa00
Amon-Ra St. Brown*+,DET,WR,24,16,16,0,0,0,4,24,0,164,119,1515,10,1,1,,,212,330.9,StxxAm00
Dak Prescott*,DAL,QB,30,17,17,4516,36,9,55,242,2,0,0,0,0,4,2,,2,343,342.8,PresDa01
Mike Evans*,TAM,WR,30,17,17,0,0,0,0,0,0,136,79,1255,13,0,0,,,204,282.5,EvanMi00
Lamar Jackson*+,BAL,QB,26,16,16,3678,24,7,148,821,5,0,0,0,0,11,6,,1,331,331.2,JackLa00
Sam LaPorta*,DET,TE,22,17,14,0,0,0,1,4,0,120,86,889,10,0,0,2,,153,239.3,LaPoSa01
Travis Etienne,JAX,RB,24,17,17,0,0,0,267,1008,11,73,58,476,1,0,0,2,,224,282.4,EtieTr00
Kyren Williams*,LAR,RB,23,12,11,0,0,0,228,1144,12,48,32,206,3,3,2,1,,223,255.0,WillKy02
Puka Nacua*,LAR,WR,22,17,17,0,0,0,12,89,0,160,105,1486,6,1,0,,,194,298.5,NacuPu00
D.J. Moore,CHI,WR,26,17,17,0,0,0,4,21,1,136,96,1364,8,1,1,,,191,286.5,MoorD.00
Derrick Henry*,TEN,RB,29,17,17,14,2,0,280,1167,12,36,28,214,0,0,0,,,219,246.7,HenrDe00
Joe Mixon,CIN,RB,27,17,17,0,0,0,257,1034,9,64,52,376,3,0,0,1,,215,267.0,MixoJo00
Jordan Love,GNB,QB,25,17,17,4159,32,11,50,247,4,0,0,0,0,9,3,,2,319,319.1,LoveJo03
Breece Hall,NYJ,RB,22,17,16,0,0,0,223,994,5,95,76,591,4,2,0,1,,215,290.5,HallBr03
A.J. Brown*,PHI,WR,26,17,17,0,0,0,0,0,0,158,106,1456,7,2,2,,,184,289.6,BrowAJ00
Deebo Samuel,SFO,WR,27,15,15,0,0,0,37,225,5,89,60,892,7,1,0,,,184,243.7,SamuDe00
George Kittle*+,SFO,TE,30,16,16,0,0,0,1,2,0,90,65,1020,6,0,0,,,138,203.2,KittGe00
Nico Collins,HOU,WR,24,15,10,0,0,0,1,7,0,109,80,1297,8,1,0,1,,180,260.4,CollNi00
Rachaad White,TAM,RB,24,17,17,0,0,0,272,990,6,70,64,549,3,3,2,,,204,267.9,WhitRa01
Brandon Aiyuk,SFO,WR,25,16,16,0,0,0,0,0,0,105,75,1342,7,1,1,,,174,249.2,AiyuBr00
Travis Kelce*,KAN,TE,34,15,15,0,0,0,0,0,0,121,93,984,5,1,1,,,126,219.4,KelcTr00
Keenan Allen*,LAC,WR,31,13,13,49,1,0,2,6,0,150,108,1243,7,2,1,,,171,278.9,AlleKe00
T.J. Hockenson,MIN,TE,26,15,11,0,0,0,0,0,0,127,95,960,5,1,1,,,124,219.0,HockTJ00
Stefon Diggs*,BUF,WR,30,17,17,0,0,0,1,5,0,160,107,1183,8,2,1,1,,167,273.8,DiggSt00
David Njoku*,CLE,TE,27,16,16,0,0,0,0,0,0,123,81,882,6,2,2,,,120,201.2,NjokDa00
Brock Purdy*,SFO,QB,24,16,16,4280,31,11,39,144,2,0,0,0,0,6,2,,,296,295.6,PurdBr00
David Montgomery,DET,RB,26,14,14,0,0,0,219,1015,13,24,16,117,0,2,1,1,,191,207.2,MontDa01
Ja'Marr Chase*,CIN,WR,23,16,16,-7,0,0,3,-6,0,145,100,1216,7,1,0,,,163,262.7,ChasJa00
Davante Adams,LVR,WR,31,17,17,0,0,0,0,0,0,175,103,1144,8,0,0,,,162,265.4,AdamDa01
Jahmyr Gibbs*,DET,RB,21,15,3,0,0,0,182,945,10,71,52,316,1,2,1,,,190,242.1,GibbJa01
Evan Engram*,JAX,TE,29,17,15,0,0,0,0,0,0,143,114,963,4,3,2,,,116,230.3,EngrEv00
James Cook*,BUF,RB,24,17,13,0,0,0,237,1122,2,54,44,445,4,4,2,,,189,232.7,CookJa01
Bijan Robinson,ATL,RB,21,17,16,0,0,0,214,976,4,86,58,487,4,4,3,,,188,246.3,RobiBi01
D.K. Metcalf*,SEA,WR,26,16,16,0,0,0,0,0,0,119,66,1114,8,0,0,,,159,225.4,MetcDK00
Jared Goff,DET,QB,29,17,17,4575,30,12,32,21,2,0,0,0,0,6,4,,2,289,289.1,GoffJa00
Taysom Hill,NOR,TE,33,16,7,83,1,0,81,401,4,40,33,291,2,1,1,,,111,143.5,HillTa00
Amari Cooper*,CLE,WR,29,15,15,0,0,0,0,0,0,128,72,1250,5,2,1,1,,155,227.0,CoopAm00
Saquon Barkley,NYG,RB,26,14,14,0,0,0,247,962,6,60,41,280,4,2,2,1,,182,223.2,BarkSa00
Calvin Ridley,JAX,WR,29,17,17,0,0,0,9,23,0,136,76,1016,8,1,0,1,,154,229.9,RidlCa00
Jayden Reed,GNB,WR,23,16,13,0,0,0,11,119,2,94,64,793,8,2,0,1,,153,217.2,ReedJa03
Cole Kmet,CHI,TE,24,17,17,0,0,0,3,2,0,90,73,719,6,1,0,,,108,181.1,KmetCo00
Jordan Addison,MIN,WR,21,17,14,0,0,0,1,2,0,108,70,911,10,0,0,,,151,221.3,AddiJo00
Jake Ferguson*,DAL,TE,24,17,16,0,0,0,0,0,0,102,71,761,5,0,0,,,106,177.1,FergJa00
DeAndre Hopkins,TEN,WR,31,17,16,0,0,0,2,9,0,137,75,1057,7,0,0,,,149,223.6,HopkDe00
Patrick Mahomes*,KAN,QB,28,16,16,4183,27,14,75,389,0,0,0,0,0,5,3,,,280,280.2,MahoPa00
Jakobi Meyers,LVR,WR,27,16,16,12,1,0,4,24,2,106,71,807,8,0,0,,,148,218.6,MeyeJa01
James Conner,ARI,RB,28,13,13,0,0,0,208,1040,7,33,27,165,2,0,0,,,175,201.5,ConnJa00
Gus Edwards,BAL,RB,28,17,9,0,0,0,198,810,13,13,12,180,0,3,2,1,,175,187.0,EdwaGu00
DeVonta Smith,PHI,WR,25,16,16,0,0,0,0,0,0,112,81,1066,7,1,1,,,147,227.6,SmitDe07
